	0|1495118176.003682|1495118177.003682
200|0xc16e|1495118176.003682000|78
200|0xc16f|1495118176.012925000|70
200|0xc170|1495118176.012940000|89
200|0xc171|1495118176.016343000|70
200|0xc172|1495118176.018594000|407
200|0xdc2d|1495118176.053141000|78
200|0xdc2e|1495118176.058405000|70
200|0xc173|1495118176.058957000|70
100|0x711d|1495118176.203848000|78
100|0x711e|1495118176.209321000|70
100|0x711f|1495118176.209329000|89
100|0x7120|1495118176.213659000|70
100|0x7121|1495118176.216226000|407
100|0x7122|1495118176.255685000|70
100|0x1201|1495118176.277432000|78
100|0x1202|1495118176.282859000|70
100|0x1203|1495118176.542659000|794
100|0x1205|1495118176.571365000|794
100|0x1204|1495118176.571372000|794
100|0x1206|1495118176.572059000|794
100|0x1207|1495118176.572066000|794
100|0x1208|1495118176.572697000|794
100|0x1209|1495118176.572704000|794
100|0x120a|1495118176.573321000|794
100|0x120b|1495118176.573328000|794
100|0x120c|1495118176.573930000|794
100|0x120d|1495118176.573936000|794
100|0x120e|1495118176.574504000|794
100|0x120f|1495118176.574510000|794
100|0x1210|1495118176.575018000|794
100|0x1211|1495118176.575048000|794
100|0x1212|1495118176.575562000|794
100|0x1213|1495118176.575632000|794
100|0x1214|1495118176.576120000|794
100|0x1215|1495118176.576152000|794
100|0x1216|1495118176.576667000|794
100|0x1217|1495118176.576699000|794
100|0x1218|1495118176.577210000|794
100|0x1219|1495118176.577239000|794
100|0x121a|1495118176.577737000|794
100|0x121b|1495118176.577809000|794
100|0x121c|1495118176.578270000|794
100|0x121d|1495118176.578348000|794
100|0x121e|1495118176.578776000|794
100|0x121f|1495118176.578848000|794
100|0x1220|1495118176.579252000|794
100|0x1221|1495118176.579282000|794
100|0x1222|1495118176.579686000|794
100|0x1223|1495118176.579762000|794
100|0x1224|1495118176.580144000|794
100|0x1225|1495118176.580219000|794
200|0xdc2f|1495118176.580363000|794
100|0x1226|1495118176.580657000|794
100|0x1227|1495118176.580664000|794
100|0x1228|1495118176.581163000|794
100|0x1229|1495118176.581168000|794
100|0x122a|1495118176.581648000|794
100|0x122b|1495118176.581680000|794
100|0x122c|1495118176.582118000|794
100|0x122d|1495118176.582150000|794
100|0x122e|1495118176.582584000|794
100|0x122f|1495118176.582616000|794
100|0x1230|1495118176.583037000|794
100|0x1231|1495118176.583068000|794
100|0x1232|1495118176.583480000|794
100|0x1233|1495118176.583553000|794
100|0x1234|1495118176.583940000|794
100|0x1235|1495118176.583972000|794
100|0x1236|1495118176.584421000|794
100|0x1237|1495118176.584493000|794
100|0x1238|1495118176.584879000|794
100|0x1239|1495118176.584977000|794
100|0x123a|1495118176.585411000|794
100|0x123b|1495118176.585442000|794
100|0x123c|1495118176.585863000|794
100|0x123d|1495118176.585896000|794
100|0x123e|1495118176.586301000|794
100|0x123f|1495118176.586333000|794
100|0x1240|1495118176.586739000|794
100|0x1241|1495118176.586772000|794
100|0x1242|1495118176.587193000|794
100|0x1243|1495118176.587226000|794
200|0xdc30|1495118176.587722000|794
200|0xdc31|1495118176.587727000|794
100|0x1244|1495118176.587729000|794
100|0x1245|1495118176.587730000|794
100|0x1246|1495118176.588296000|794
200|0xdc32|1495118176.588301000|794
100|0x1247|1495118176.588302000|794
200|0xdc33|1495118176.588303000|794
100|0x1248|1495118176.588732000|794
100|0x1249|1495118176.588764000|794
200|0xdc34|1495118176.588851000|794
200|0xdc35|1495118176.588922000|794
100|0x124a|1495118176.589194000|794
100|0x124b|1495118176.589222000|794
200|0xdc36|1495118176.589359000|794
200|0xdc37|1495118176.589470000|794
100|0x124c|1495118176.589581000|794
100|0x124d|1495118176.589666000|794
200|0xdc38|1495118176.589913000|794
200|0xdc39|1495118176.590101000|794
100|0x124e|1495118176.590109000|794
100|0x124f|1495118176.590111000|794
100|0x1250|1495118176.590581000|794
200|0xdc3a|1495118176.590588000|794
100|0x1251|1495118176.590589000|794
200|0xdc3b|1495118176.590591000|794
100|0x1252|1495118176.590960000|794
100|0x1253|1495118176.590969000|794
200|0xdc3c|1495118176.591053000|794
200|0xdc3d|1495118176.591146000|794
100|0x1254|1495118176.591342000|794
100|0x1255|1495118176.591343000|794
200|0xdc3e|1495118176.591544000|794
200|0xdc3f|1495118176.591618000|794
100|0x1256|1495118176.591746000|794
100|0x1257|1495118176.591772000|794
200|0xdc40|1495118176.592032000|794
200|0xdc41|1495118176.592111000|794
100|0x1258|1495118176.592213000|794
100|0x1259|1495118176.592219000|794
200|0xdc42|1495118176.592570000|794
200|0xdc43|1495118176.592575000|794
100|0x125a|1495118176.592576000|794
100|0x125b|1495118176.592653000|794
100|0x125c|1495118176.593067000|794
200|0xdc44|1495118176.593072000|794
100|0x125d|1495118176.593073000|446
200|0xdc45|1495118176.593074000|794
200|0xdc46|1495118176.593537000|794
200|0xdc47|1495118176.593542000|794
200|0xdc48|1495118176.594026000|794
200|0xdc49|1495118176.594031000|794
200|0xdc4a|1495118176.594462000|794
200|0xdc4b|1495118176.594467000|794
200|0xdc4c|1495118176.594941000|794
200|0xdc4d|1495118176.594945000|794
200|0xdc4e|1495118176.595395000|794
200|0xdc4f|1495118176.595400000|794
200|0xdc50|1495118176.595850000|794
200|0xdc51|1495118176.595928000|794
200|0xdc52|1495118176.596320000|794
200|0xdc53|1495118176.596326000|794
200|0xdc54|1495118176.596780000|794
200|0xdc55|1495118176.596784000|794
200|0xdc56|1495118176.597228000|794
200|0xdc57|1495118176.597233000|794
200|0xdc58|1495118176.597684000|794
200|0xdc59|1495118176.597689000|794
200|0xdc5a|1495118176.598122000|794
200|0xdc5b|1495118176.598151000|794
200|0xdc5c|1495118176.598598000|794
200|0xdc5d|1495118176.598602000|794
200|0xdc5e|1495118176.599050000|794
200|0xdc5f|1495118176.599054000|794
200|0xdc60|1495118176.599499000|794
200|0xdc61|1495118176.599504000|794
200|0xdc62|1495118176.599961000|794
200|0xdc63|1495118176.599965000|794
200|0xdc64|1495118176.600406000|794
200|0xdc65|1495118176.600411000|794
200|0xdc66|1495118176.600853000|794
200|0xdc67|1495118176.600858000|794
200|0xdc68|1495118176.601314000|794
200|0xdc69|1495118176.601318000|794
200|0xdc6a|1495118176.601762000|794
200|0xdc6b|1495118176.601767000|794
200|0xdc6c|1495118176.602209000|794
200|0xdc6d|1495118176.602213000|794
200|0xdc6e|1495118176.602665000|794
200|0xdc6f|1495118176.602670000|794
200|0xdc70|1495118176.603147000|794
200|0xdc71|1495118176.603155000|794
200|0xdc72|1495118176.603620000|794
200|0xdc73|1495118176.603628000|794
200|0xdc74|1495118176.604091000|794
200|0xdc75|1495118176.604100000|794
200|0xdc76|1495118176.604578000|794
200|0xdc77|1495118176.604585000|794
200|0xdc78|1495118176.605111000|794
200|0xdc79|1495118176.605118000|794
200|0xdc7a|1495118176.605571000|794
200|0xdc7b|1495118176.605578000|794
200|0xdc7c|1495118176.605997000|794
200|0xdc7d|1495118176.606002000|794
200|0xdc7e|1495118176.606484000|794
200|0xdc7f|1495118176.606624000|794
200|0xdc80|1495118176.607035000|794
200|0xdc81|1495118176.607039000|794
200|0xdc82|1495118176.607519000|794
200|0xdc83|1495118176.607522000|794
200|0xdc84|1495118176.607966000|794
200|0xdc85|1495118176.607995000|794
200|0xdc86|1495118176.608457000|794
200|0xdc87|1495118176.608462000|794
200|0xdc88|1495118176.608899000|794
200|0xdc89|1495118176.608904000|446
100|0x125e|1495118176.804810000|794
100|0x125f|1495118176.804817000|794
100|0x1260|1495118176.805417000|794
100|0x1261|1495118176.805424000|794
100|0x1262|1495118176.806008000|794
100|0x1263|1495118176.806015000|794
100|0x1264|1495118176.806593000|794
100|0x1265|1495118176.806600000|794
100|0x1266|1495118176.807171000|794
100|0x1267|1495118176.807178000|794
100|0x1268|1495118176.807706000|794
100|0x1269|1495118176.807712000|794
100|0x126a|1495118176.808293000|794
100|0x126b|1495118176.808299000|794
100|0x126c|1495118176.808842000|794
100|0x126d|1495118176.808847000|794
100|0x126e|1495118176.809454000|794
100|0x126f|1495118176.809458000|794
100|0x1270|1495118176.810033000|794
100|0x1271|1495118176.810038000|794
100|0x1272|1495118176.810649000|794
100|0x1273|1495118176.810653000|794
100|0x1274|1495118176.811232000|794
100|0x1275|1495118176.811237000|794
100|0x1276|1495118176.811818000|794
100|0x1277|1495118176.811822000|794
100|0x1278|1495118176.812340000|794
100|0x1279|1495118176.812345000|794
100|0x127a|1495118176.812839000|794
100|0x127b|1495118176.812844000|794
100|0x127c|1495118176.813231000|794
100|0x127d|1495118176.813236000|794
100|0x127e|1495118176.813624000|794
100|0x127f|1495118176.813629000|794
100|0x1280|1495118176.814076000|794
100|0x1281|1495118176.814080000|794
100|0x1282|1495118176.814474000|794
100|0x1283|1495118176.814479000|794
100|0x1284|1495118176.814876000|794
100|0x1285|1495118176.814881000|794
100|0x1286|1495118176.815272000|794
100|0x1287|1495118176.815277000|794
100|0x1288|1495118176.815671000|794
100|0x1289|1495118176.815676000|794
100|0x128a|1495118176.816074000|794
100|0x128b|1495118176.816079000|794
100|0x128c|1495118176.816480000|794
100|0x128d|1495118176.816486000|794
100|0x128e|1495118176.816897000|794
100|0x128f|1495118176.816901000|794
